,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
227,Gunnin' for That #1 Spot,2008,14,USA,Documentary,PG-13,90,6/27/2008,Adam Yauch,"['Jerryd Bayless', ' Michael Beasley', ' Tyreke Evans']",English,6.4,50804.0
230,The Guru,2002,98,UK,Comedy,R,94,1/31/2003,Daisy von Scherler Mayer,"['Jimi Mistry', ' Heather Graham', ' Marisa Tomei']",English,5.4,3095506.0
231,Guru,2007,76,India,Biography,,166,1/12/2007,Mani Ratnam,"['Mithun Chakraborty', ' Abhishek Bachchan', ' Aishwarya Rai Bachchan']",Hindi,7.8,2096000.0
232,Gurukulam,2014,11,Canada,Documentary,,108,6/3/2016,Neil Dalal,['Dayananda Saraswati'],English,7.4,25651.0
235,Guy and Madeline on a Park Bench,2009,5,USA,Drama,,82,11/5/2010,Damien Chazelle,"['Jason Palmer', ' Desiree Garcia', ' Sandha Khin']",English,6.1,35556.0
236,A Guy Thing,2003,2520,USA,Comedy,PG-13,101,1/17/2003,Chris Koch,"['Jason Lee', ' Julia Stiles', ' Selma Blair']",English,5.6,15545431.0
238,The Guys,2002,15,USA,Drama,PG,84,4/4/2003,Jim Simpson,"['Sigourney Weaver', ' Anthony LaPaglia', ' Irene Walsh']",English,6.5,21366.0
239,Guys and Balls,2004,7,Germany,Comedy,R,106,4/28/2006,Sherry Hormann,"['Eileen Eilender', ' Leon Breitenborn', ' Dietmar Bär']",German,6.8,28324.0
241,Guzaarish,2010,108,India,Comedy,,126,11/19/2010,Sanjay Leela Bhansali,"['Hrithik Roshan', ' Aishwarya Rai Bachchan', ' Shernaz Patel']",Hindi,7.5,1017335.0
244,Gypsy 83,2001,1,USA,Drama,R,94,4/16/2004,Todd Stephens,"['Sara Rue', ' Kett Turton', ' Karen Black']",English,7.0,29367.0
245,When the Road Bends... Tales of a Gypsy Caravan,2006,16,USA,Documentary,Unrated,110,1/19/2007,Jasmine Dellal,"['Maharaja', ' Esma Redzepova', ' Taraf de Haidouks']",English,7.7,442936.0
248,The Wolf at the Door,2008,16,USA,Drama,Unrated,90,7/31/1987,Matt Detisch,"['Christopher Bucci', ' Tracy Lecker', ' Jason Merriott']",English,7.9,583800.0
249,Wolf Creek,2005,1761,Australia,Horror,R,99,12/25/2005,Greg McLean,"['John Jarratt', ' Cassandra Magrath', ' Kestie Morassi']",English,6.3,16188180.0
250,The Wolf of Wall Street,2013,2557,USA,Biography,R,180,12/25/2013,Martin Scorsese,"['Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie']",English,8.2,116900694.0
251,Wolf Totem,2015,5,China,Adventure,PG-13,121,9/11/2015,Jean-Jacques Annaud,"['Shaofeng Feng', ' Shawn Dou', ' Ankhnyam Ragchaa']",Mandarin,6.7,210591.0
253,The Wolfman,2010,3223,USA,Drama,R,103,2/12/2010,Joe Johnston,"['Simon Merrells', ' Gemma Whelan', ' Emily Blunt']",English,5.8,61979680.0
254,The Wolfpack,2015,94,USA,Documentary,R,90,6/12/2015,Crystal Moselle,"['Bhagavan Angulo', ' Govinda Angulo', ' Jagadisa Angulo']",English,7.0,1301696.0
255,The Wolverine,2013,3924,USA,Action,PG-13,126,7/26/2013,James Mangold,"['Hugh Jackman', ' Tao Okamoto', ' Rila Fukushima']",English,6.7,132556852.0
256,Wolves,2014,12,France,Action,R,91,11/14/2014,David Hayter,"['Lucas Till', ' Stephen McHattie', ' John Pyper-Ferguson']",English,5.3,12139.0
257,The Woman in Black,2012,2856,UK,Drama,PG-13,95,2/3/2012,James Watkins,"['Emma Shorey', ' Molly Harmon', ' Ellisa Walker-Reid']",English,6.4,54333290.0
258,The Woman in Black 2: Angel of Death,2014,2602,UK,Drama,PG-13,98,1/2/2015,Tom Harper,"['Phoebe Fox', ' Merryn Pearse', ' Mary Roscoe']",English,4.9,26501323.0
259,Woman in Gold,2015,2011,UK,Biography,PG-13,109,4/1/2015,Simon Curtis,"['Helen Mirren', ' Ryan Reynolds', ' Daniel Brühl']",English,7.3,33307793.0
261,The Woman in the Fifth,2011,14,France,Drama,R,84,6/15/2012,Pawel Pawlikowski,"['Ethan Hawke', ' Kristin Scott Thomas', ' Joanna Kulig']",English,5.3,113800.0
264,Woman Is the Future of Man,2004,1,South Korea,Drama,,88,3/3/2006,Sang-soo Hong,"['Ji-tae Yu', ' Tae-woo Kim', ' Hyun-Ah Sung']",Korean,6.4,11807.0
267,Woman on the Beach,2006,1,South Korea,Comedy,,100,1/9/2008,Sang-soo Hong,"['Seung-woo Kim', ' Hyun-jung Go', ' Seon-mi Song']",Korean,7.0,23686.0
268,Woman on Top,2000,1086,USA,Comedy,R,92,9/22/2000,Fina Torres,"['Penélope Cruz', ' Murilo Benício', ' Harold Perrineau']",English,5.3,5020111.0
270,Woman Thou Art Loosed: On the 7th Day,2012,106,USA,Drama,PG-13,101,4/13/2012,Neema Barnette,"['Blair Underwood', ' Sharon Leal', ' Nicole Beharie']",English,4.9,1213128.0
271,The Woman Who Left,2016,1,Philippines,Drama,,226,5/19/2017,Lav Diaz,"['Charo Santos-Concio', ' John Lloyd Cruz', ' Michael De Mesa']",English,7.9,3974.0
272,A Woman's Life,2016,4,France,Drama,,119,5/5/2017,Stéphane Brizé,"['Judith Chemla', ' Jean-Pierre Darroussin', ' Yolande Moreau']",French,6.8,37626.0
273,"A Woman, a Gun and a Noodle Shop",2009,23,China,Comedy,R,95,9/3/2010,Yimou Zhang,"['Honglei Sun', ' Xiao Shen-Yang', ' Ni Yan']",Mandarin,5.7,190946.0
274,"A Woman, a Part",2016,3,USA,Drama,Unrated,97,3/22/2017,Elisabeth Subrin,"['Maggie Siff', ' Dagmara Dominczyk', ' Khandi Alexander']",English,5.7,23562.0
275,Woman Thou Art Loosed,2004,521,USA,Drama,R,94,10/1/2004,Michael Schultz,"['Kimberly Elise', ' Loretta Devine', ' Debbi Morgan']",English,6.8,6879730.0
276,Women in Trouble,2009,3,USA,Comedy,R,92,11/13/2009,Sebastian Gutierrez,"['Carla Gugino', ' Adrianne Palicki', ' Dan Mailley']",English,5.8,18097.0
277,The Women on the 6th Floor,2010,17,France,Comedy,Unrated,102,10/7/2011,Philippe Le Guay,"['Fabrice Luchini', ' Sandrine Kiberlain', ' Natalia Verbeke']",French,7.1,719823.0
279,The Women's Balcony,2016,34,Israel,Comedy,,96,3/3/2017,Emil Ben-Shimon,"['Evelin Hagoel', ' Igal Naor', ' Orna Banai']",Hebrew,7.1,1194092.0
280,!Women Art Revolution,2010,4,USA,Documentary,,83,6/1/2011,Lynn Hershman-Leeson,['Lynn Hershman-Leeson'],English,6.8,52681.0
281,Won't Back Down,2012,2517,USA,Drama,PG,121,9/28/2012,Daniel Barnz,"['Maggie Gyllenhaal', ' Viola Davis', ' Oscar Isaac']",English,6.4,5310554.0
282,Wonder Woman,2017,0,Hong Kong,Action,PG-13,141,11/17/2017,Patty Jenkins,"['Gal Gadot', ' Chris Pine', ' Connie Nielsen']",English,7.6,0.0
283,Wonder Boys,2000,1509,USA,Comedy,R,107,2/23/2000,Curtis Hanson,"['Michael Douglas', ' Tobey Maguire', ' Frances McDormand']",English,7.4,19393557.0
284,The Wonder of It All,2007,39,USA,Documentary,,82,7/17/2009,Jeffrey Roth,"['Eugene Cernan', ' Yuri Gagarin', ' John F. Kennedy']",English,7.2,781016.0
285,Wonder Wheel,2017,0,USA,Drama,PG-13,101,12/1/2017,Woody Allen,"['Jim Belushi', ' Juno Temple', ' Justin Timberlake']",English,6.2,0.0
286,Wonder Woman,2017,4165,Hong Kong,Action,PG-13,141,6/2/2017,Patty Jenkins,"['Gal Gadot', ' Chris Pine', ' Connie Nielsen']",English,7.6,412563408.0
288,Wonderful Town,2007,1,Thailand,Drama,Unrated,92,7/18/2008,Aditya Assarat,"['Anchalee Saisoontorn', ' Supphasit Kansen', ' Dul Yaambunying']",Thai,6.6,4487.0
289,Wonderful World,2009,4,USA,Drama,R,89,1/8/2010,Joshua Goldin,"['Matthew Broderick', ' Sanaa Lathan', ' Michael Kenneth Williams']",English,6.2,9309.0
291,The Wonders,2014,15,Italy,Drama,Unrated,110,10/30/2015,Alice Rohrwacher,"['Alba Rohrwacher', ' Maria Alexandra Lungu', ' Sam Louwyck']",Italian,6.6,73378.0
292,Wonderstruck,2017,261,USA,Drama,PG,117,10/20/2017,Todd Haynes,"['Millicent Simmonds', ' Julianne Moore', ' Cory Michael Smith']",English,6.9,580042.0
293,Wondrous Oblivion,2003,12,France,Comedy,PG,106,7/21/2006,Paul Morrison,"['Sam Smith', ' Leagh Conwell', ' Dominic Barklem']",English,7.1,88560.0
296,Woodlawn,2015,1553,USA,Drama,PG,123,10/16/2015,Andrew Erwin,"['Sean Astin', ' Nic Bishop', ' Caleb Castille']",English,6.5,14394097.0
297,The Woodmans,2010,3,USA,Documentary,Unrated,82,1/19/2011,Scott Willis,"['Francesca Woodman', ' George Woodman', ' Betty Woodman']",English,7.0,46623.0
298,The Woods,2006,0,USA,Horror,R,91,1/1/2018,Lucky McKee,"['Agnes Bruckner', ' Emma Campbell', ' Bruce Campbell']",English,5.7,0.0
300,The Woodsman,2004,84,USA,Drama,R,87,12/24/2004,Nicole Kassell,"['Kevin Bacon', ' David Alan Grier', ' Eve']",English,7.2,1576231.0
301,Wooly Boys,2001,7,USA,Comedy,PG,99,1/23/2004,Leszek Burzynski,"['Peter Fonda', ' Kris Kristofferson', ' Joseph Mazzello']",English,6.3,335726.0
302,The Word,2014,1,Poland,Drama,,97,3/14/2014,Anna Kazejak,"['Eliza Rycembel', ' Mateusz Wieclawek', ' Magdalena Poplawska']",Polish,5.1,3648.0
303,Word Wars,2004,5,USA,Documentary,Unrated,80,5/28/2004,Eric Chaikin,"['Joe Edley', ' Matt Graham', ' Marlon Hill']",English,6.9,110617.0
304,Wordplay,2006,154,USA,Documentary,PG,94,6/16/2006,Patrick Creadon,"['Will Shortz', ' Merl Reagle', ' Tyler Hinman']",English,7.4,3121270.0
305,The Words,2012,2801,USA,Drama,PG-13,102,9/7/2012,Brian Klugman,"['Dennis Quaid', ' John Hannah', ' Jeremy Irons']",English,7.1,11494838.0
307,Words and Pictures,2013,216,USA,Comedy,PG-13,111,5/23/2014,Fred Schepisi,"['Clive Owen', ' Juliette Binoche', ' Bruce Davison']",English,6.6,2171257.0
308,Words of My Perfect Teacher,2003,3,Canada,Documentary,,103,12/22/2006,Lesley Ann Patten,"['Khyentse Norbu', ' Luc Dierckx', ' Louise Rodd']",English,6.6,20318.0
309,The Work,2017,2,USA,Documentary,,89,10/27/2017,Jairus McLeary,['nan'],English,8.2,5853.0
310,The Work and the Glory,2004,112,USA,Romance,PG,118,11/24/2004,Russell Holt,"['Sam Hennings', ' Brenda Strong', ' Eric Johnson']",English,6.9,3347647.0
311,The Work and the Glory II: American Zion,2005,206,USA,Drama,PG-13,100,10/21/2005,Sterling Van Wagenen,"['Sam Hennings', ' Brenda Strong', ' Eric Johnson']",English,6.6,2025032.0
312,The Work and the Glory III: A House Divided,2006,44,USA,Drama,PG,89,11/22/2006,Sterling Van Wagenen,"['Sam Hennings', ' Brenda Strong', ' Eric Johnson']",English,6.6,1325092.0
313,The Work and the Story,2003,5,USA,Comedy,,77,10/3/2003,Nathan Smith Jones,"['Nathan Smith Jones', ' Jen Hoskins', ' Eric Artell']",English,5.0,3233.0
316,Workingman's Death,2005,2,Austria,Documentary,Unrated,122,2/24/2006,Michael Glawogger,['nan'],Pushto,8.1,2214.0
317,The World,2004,3,China,Drama,,143,7/1/2005,Zhangke Jia,"['Tao Zhao', ' Taishen Cheng', ' Jue Jing']",Mandarin,7.1,64123.0
322,The World of Kanako,2014,12,Japan,Drama,Unrated,118,12/4/2015,Tetsuya Nakashima,"['Kôji Yakusho', ' Nana Komatsu', ' Satoshi Tsumabuki']",Japanese,6.6,16627.0
323,World Trade Center,2006,3021,USA,Drama,PG-13,129,8/9/2006,Oliver Stone,"['Nicolas Cage', ' Maria Bello', ' Connor Paolo']",English,6.0,70278893.0
324,World Traveler,2001,19,Canada,Drama,R,103,4/19/2002,Bart Freundlich,"['Billy Crudup', ' Francie Swift', ' Nicolas Suresky']",English,5.5,103863.0
325,The World Unseen,2007,3,South Africa,Drama,PG-13,93,11/7/2008,Shamim Sarif,"['Lisa Ray', ' Sheetal Sheth', ' Parvin Dabas']",English,6.8,17808.0
326,World War Z,2013,3607,USA,Action,PG-13,116,6/21/2013,Marc Forster,"['Brad Pitt', ' Mireille Enos', ' Daniella Kertesz']",English,7.0,202359711.0
327,World War Z 2,2017,0,USA,Action,,0,1/1/2018,David Fincher,['Brad Pitt'],English,,0.0
328,The World's End,2013,1553,UK,Action,R,109,8/23/2013,Edgar Wright,"['Thomas Law', ' Zachary Bailess', ' Jasper Levine']",English,7.0,26004851.0
329,The World's Fastest Indian,2005,251,New Zealand,Biography,PG-13,127,12/7/2005,Roger Donaldson,"['Anthony Hopkins', ' Iain Rea', ' Tessa Mitchell']",English,7.8,5128124.0
330,World's Greatest Dad,2009,30,USA,Comedy,R,99,8/21/2009,Bobcat Goldthwait,"['Robin Williams', ' Daryl Sabara', ' Morgan Murphy']",English,6.9,221805.0
331,Worlds Apart,2015,2,Greece,Drama,,113,1/13/2017,Christopher Papakaliatis,"['J.K. Simmons', ' Christopher Papakaliatis', ' Andrea Osvárt']",Greek,7.6,60298.0
332,The Worst Movie Ever!,2011,2,USA,Action,,76,8/19/2011,Glenn Berggoetz,"['Glenn Berggoetz', ' Eileen Barker', ' Stuart Goldstein']",English,4.3,25206.0
334,The Wound,2017,2,South Africa,Drama,,88,3/15/2017,John Trengove,"['Nakhane Touré', ' Bongile Mantsai', ' Niza Jay']",Xhosa,7.1,30678.0
336,Mi America,2015,1,USA,Crime,R,90,10/16/2015,Robert Fontaine,"['Robert Fontaine', ' Michael Brainard', ' Grant Boyd']",English,7.0,3330.0
338,MI-5,2015,0,UK,Action,R,104,12/4/2015,Bharat Nalluri,"['Michael Wildman', ' Tuppence Middleton', ' Geoffrey Streatfeild']",English,6.2,0.0
339,Mia and the Migoo,2008,1,France,Animation,PG,92,3/25/2011,Jacques-Rémy Girerd,"['Dany Boon', ' John DiMaggio', ' Garance Lagraa']",French,6.7,16975.0
340,Mia Madre,2015,35,Italy,Drama,R,106,8/26/2016,Nanni Moretti,"['Margherita Buy', ' John Turturro', ' Giulia Lazzarini']",Italian,6.8,303002.0
343,Miami Vice,2006,3026,USA,Action,R,134,7/28/2006,Michael Mann,"['Colin Farrell', ' Jamie Foxx', ' Li Gong']",English,6.0,63450470.0
344,"Léchez-nous, Miaou, Miaou!",2015,34,Switzerland,Short,,16,2/25/2004,Marie de Maricourt,"['Nadia Sadji', ' Yoram Gué', ' Marie Colin']",French,,256770.0
345,Partners in Time: The Making of 'MIB 3',2012,4248,USA,Short,,0,5/25/2012,nan,['nan'],English,6.1,179020854.0
347,Michael Clayton,2007,2585,USA,Crime,R,119,10/5/2007,Tony Gilroy,"['Tom Wilkinson', "" Michael O'Keefe"", ' Sydney Pollack']",English,7.3,49033882.0
349,All Access: Making Michael Jackson's This Is It,2010,3481,USA,Documentary,,0,10/28/2009,nan,"['Alex Al', ' Michael Bearden', ' Paul Gongaware']",English,8.2,72091016.0
350,Michael Moore in TrumpLand,2016,51,USA,Documentary,Unrated,73,10/19/2016,Michael Moore,"['Michael Moore', ' Hillary Clinton', ' Donald J. Trump']",English,5.9,149090.0
353,Micmacs,2009,52,France,Action,R,105,5/28/2010,Jean-Pierre Jeunet,"['Dany Boon', ' André Dussollier', ' Yolande Moreau']",French,7.2,1262079.0
354,Microbe & Gasoline,2015,9,France,Adventure,R,105,7/1/2016,Michel Gondry,"['Ange Dargent', ' Théophile Baquet', ' Diane Besnier']",French,6.7,63802.0
356,Mid-August Lunch,2008,23,Italy,Comedy,Unrated,75,3/17/2010,Gianni Di Gregorio,"['Valeria De Franciscis', ' Marina Cacciotti', ' Maria Calì']",Italian,7.0,675299.0
357,Middle Men,2009,252,USA,Comedy,R,105,8/6/2010,George Gallo,"['Luke Wilson', ' Giovanni Ribisi', ' Gabriel Macht']",English,6.6,754301.0
358,Middle of Nowhere,2008,0,USA,Comedy,R,95,1/1/2018,John Stockwell,"['Eva Amurri Martino', ' Anton Yelchin', ' Willa Holland']",English,6.5,0.0
359,Middle School: The Worst Years of My Life,2016,2822,USA,Animation,PG,92,10/7/2016,Steve Carr,"['Griffin Gluck', ' Lauren Graham', ' Alexa Nisenson']",English,6.1,20007149.0
360,Midget Zombie Takeover,2013,3,USA,Comedy,Unrated,73,2/8/2013,Glenn Berggoetz,"['Kristi McKay', "" Matt 'Goose' Goosherst"", ' Kedryn Carpenter']",English,6.2,10604.0
365,Midnight Eagle,2007,3,Japan,Action,,132,11/23/2007,Izuru Narushima,"['Tatsuya Fuji', ' Yoshihiko Hakamada', ' Ken Ishiguro']",Japanese,4.8,7116.0
367,Midnight in Paris,2011,1038,Spain,Comedy,PG-13,94,5/20/2011,Woody Allen,"['Owen Wilson', ' Rachel McAdams', ' Kurt Fuller']",English,7.7,56817045.0
369,The Midnight Meat Train,2008,102,USA,Horror,R,100,8/1/2008,Ryûhei Kitamura,"['Bradley Cooper', ' Leslie Bibb', ' Brooke Shields']",English,6.1,83361.0
371,Midnight Special,2016,521,USA,Drama,PG-13,112,3/18/2016,Jeff Nichols,"['Michael Shannon', ' Joel Edgerton', ' Kirsten Dunst']",English,6.7,3712282.0
373,Midnight's Children,2012,17,Canada,Drama,,146,4/26/2013,Deepa Mehta,"['Rajat Kapoor', ' Vansh Bhardwaj', ' Anupam Kher']",English,6.2,190022.0
374,Midsummer in Newtown,2016,0,USA,Documentary,,81,1/27/2017,Lloyd Kramer,['nan'],English,6.6,0.0
377,The Midwife,2017,44,France,Drama,Unrated,117,7/21/2017,Martin Provost,"['Catherine Deneuve', ' Catherine Frot', ' Olivier Gourmet']",French,6.9,603582.0
380,Mifune: The Last Samurai,2015,9,Japan,Documentary,Unrated,80,11/25/2016,Steven Okazaki,"['Wataru Akashi', ' Kyôko Kagawa', ' Takeshi Katô']",English,7.3,62279.0
384,A Mighty Heart,2007,1355,USA,Biography,R,108,6/22/2007,Michael Winterbottom,"['Dan Futterman', ' Angelina Jolie', ' Archie Panjabi']",English,6.7,9176787.0
386,The Mighty Macs,2009,975,USA,Drama,G,99,10/21/2011,Tim Chambers,"['Carla Gugino', ' Marley Shelton', ' Ellen Burstyn']",English,6.5,1891936.0
389,A Mighty Wind,2003,770,USA,Comedy,PG-13,91,4/16/2003,Christopher Guest,"['Jim Moret', ' Stuart Luce', ' Mary Gross']",English,7.3,17781006.0
390,Mike and Dave Need Wedding Dates,2016,3008,USA,Adventure,R,98,7/8/2016,Jake Szymanski,"['Zac Efron', ' Adam Devine', ' Anna Kendrick']",Chinese,6.0,46009673.0
393,Milarepa,2006,13,Bhutan,Action,PG,90,9/7/2007,Neten Chokling,"['Orgyen Tobgyal', ' Kelsang Chukie Tethtong', ' Jamyang Lodro']",Tibetan,7.1,151114.0
394,Miles,2016,2,USA,Comedy,Unrated,90,6/9/2017,Nathan Adloff,"['Missi Pyle', ' Stephen Root', ' Yeardley Smith']",English,5.4,2537.0
395,Miles Ahead,2015,527,USA,Biography,R,100,4/1/2016,Don Cheadle,"['Don Cheadle', ' Ewan McGregor', ' Emayatzy Corinealdi']",English,6.4,2610896.0
397,Military Intelligence and You!,2006,4,USA,Comedy,,78,2/8/2008,Dale Kutzera,"['Patrick Muldoon', ' Elizabeth Ann Bennett', ' Mackenzie Astin']",English,6.1,14251.0
398,Milk,2008,882,USA,Biography,R,128,11/26/2008,Gus Van Sant,"['Sean Penn', ' Emile Hirsch', ' Josh Brolin']",English,7.6,31841299.0
399,Milk and Honey,2003,1,USA,Drama,,90,3/18/2005,Joe Maggio,"['Clint Jordan', ' Kirsten Russell', ' Dudley Findlay Jr.']",English,6.5,9331.0
401,The Milk of Sorrow,2009,2,Spain,Drama,,94,8/27/2010,Claudia Llosa,"['Magaly Solier', ' Susi Sánchez', ' Efraín Solís']",Spanish,6.7,10462.0
402,The Mill and the Cross,2011,17,Poland,Drama,,92,9/14/2011,Lech Majewski,"['Rutger Hauer', ' Michael York', ' Charlotte Rampling']",English,6.9,312187.0
404,Millennium Actress,2001,6,Japan,Animation,PG,87,9/12/2003,Satoshi Kon,"['Miyoko Shôji', ' Mami Koyama', ' Fumiko Orikasa']",Japanese,7.9,37641.0
405,Millennium Mambo,2001,1,Taiwan,Drama,R,119,12/31/2003,Hsiao-Hsien Hou,"['Qi Shu', ' Jack Kao', ' Chun-hao Tuan']",Mandarin,7.0,14904.0
407,Million Dollar Arm,2014,3019,USA,Biography,PG,124,5/16/2014,Craig Gillespie,"['Jon Hamm', ' Pitobash', ' Suraj Sharma']",English,7.0,36457627.0
408,Million Dollar Baby,2004,2375,USA,Drama,PG-13,132,12/15/2004,Clint Eastwood,"['Clint Eastwood', ' Hilary Swank', ' Morgan Freeman']",English,8.1,100492203.0
409,The Million Dollar Hotel,2000,10,Germany,Drama,R,122,2/2/2001,Wim Wenders,"['Jeremy Davies', ' Milla Jovovich', ' Mel Gibson']",English,5.9,59989.0
412,A Million Ways to Die in the West,2014,3160,USA,Comedy,R,116,5/30/2014,Seth MacFarlane,"['Seth MacFarlane', ' Charlize Theron', ' Amanda Seyfried']",English,6.1,43139300.0
413,Millions,2004,340,UK,Comedy,PG-13,98,3/11/2005,Danny Boyle,"['Alex Etel', ' Lewis McGibbon', ' James Nesbitt']",English,6.9,6584159.0
414,"Milwaukee, Minnesota",2003,3,USA,Drama,R,95,6/3/2005,Allan Mindel,"['Troy Garity', ' Alison Folland', ' Randy Quaid']",English,6.2,17528.0
416,Mind Games,2014,0,USA,Drama,TV-14,60,3/3/1989,nan,"['Christian Slater', ' Steve Zahn', ' Megalyn Echikunwoke']",English,6.4,85085.0
417,Mind the Gap,2007,1,Sweden,Comedy,,103,9/24/2004,Helena Bergström,"['Rakel Wärmländer', ' Nina Zanjani', ' Korhan Abay']",Swedish,5.1,10637.0
418,Mindhorn,2016,0,UK,Comedy,TV-MA,89,1/1/2018,Sean Foley,"['Andrea Riseborough', ' Essie Davis', ' Russell Tovey']",nan,6.3,0.0
419,Mindhunters,2004,1040,Netherlands,Crime,R,106,5/13/2005,Renny Harlin,"['Eion Bailey', ' Clifton Collins Jr.', ' Will Kemp']",English,6.4,4480744.0
421,Mine,2016,26,USA,Thriller,Unrated,106,4/7/2017,Fabio Guaglione,"['Armie Hammer', ' Annabelle Wallis', ' Tom Cullen']",English,5.9,0.0
422,Minecraft: The Story of Mojang,2012,0,USA,Documentary,Unrated,98,5/24/2019,Paul Owens,"['Jens Bergensten', ' Jonathan Blow', ' Lewis Brindley']",Swedish,7.2,0.0
423,The Miners' Hymns,2010,1,UK,Drama,Unrated,52,2/8/2012,Bill Morrison,['nan'],English,7.2,6051.0
424,Mini's First Time,2006,7,USA,Comedy,R,91,7/14/2006,Nick Guthe,"['Alec Baldwin', ' Nikki Reed', ' Carrie-Anne Moss']",English,5.9,49034.0
425,Minimalism: A Documentary About the Important Things,2015,80,USA,Documentary,,79,5/24/2016,Matt D'Avella,"['Dan Harris', ' Joshua Becker', ' Shannon Whitehead']",English,6.7,261865.0
426,Minions,2015,4311,USA,Animation,PG,91,7/10/2015,Kyle Balda,"['Sandra Bullock', ' Jon Hamm', ' Michael Keaton']",English,6.4,336045770.0
428,The Ministers,2009,2,USA,Crime,R,89,10/16/2009,Franc. Reyes,"['John Leguizamo', ' Harvey Keitel', ' Florencia Lozano']",English,4.5,4447.0
429,Minority Report,2002,3001,USA,Action,PG-13,145,6/21/2002,Steven Spielberg,"['Tom Cruise', ' Max von Sydow', ' Steve Harris']",English,7.7,132072926.0
431,Miracle,2004,2755,Canada,Biography,PG,135,2/6/2004,Gavin O'Connor,"['Kurt Russell', ' Patricia Clarkson', ' Noah Emmerich']",English,7.5,64378093.0
432,The Miracle,2015,41,Turkey,Drama,,136,7/3/1991,Mahsun Kirmizigül,"['Mahsun Kirmizigül', ' Cezmi Baskin', ' Senay Gürler']",Turkish,7.4,835519.0
433,Miracle at St. Anna,2008,1185,USA,Action,R,160,9/26/2008,Spike Lee,"['Derek Luke', ' Michael Ealy', ' Laz Alonso']",English,6.0,7919117.0
434,A Miracle in Spanish Harlem,2013,0,USA,Drama,PG,0,12/6/2013,Derek Partridge,"['Kate del Castillo', ' Luis Antonio Ramos', ' Adrian Martinez']",English,7.6,0.0
441,Miracles from Heaven,2016,3155,USA,Biography,PG,109,3/16/2016,Patricia Riggen,"['Jennifer Garner', ' Kylie Rogers', ' Martin Henderson']",English,7.0,61705123.0
443,Miral,2010,29,France,Drama,R,112,3/25/2011,Julian Schnabel,"['Hiam Abbass', ' Asma Al Shiukhy', ' Neemeh Khalil']",English,6.3,373420.0
447,Mirror Mirror,2012,3618,USA,Adventure,PG,106,3/30/2012,Tarsem Singh,"['Julia Roberts', ' Lily Collins', ' Armie Hammer']",English,5.6,64935167.0
448,Mirrormask,2005,42,UK,Adventure,PG,101,9/30/2005,Dave McKean,"['Stephanie Leonidas', ' Jason Barry', ' Rob Brydon']",English,6.9,866999.0
449,Mirrors,2008,2664,USA,Horror,R,110,8/15/2008,Alexandre Aja,"['Kiefer Sutherland', ' Paula Patton', ' Cameron Boyce']",English,6.2,30691439.0
450,Mirzya,2016,95,India,Drama,,129,10/7/2016,Rakeysh Omprakash Mehra,"['Harshvardhan Kapoor', ' Saiyami Kher', ' Art Malik']",Hindi,4.6,0.0
452,Misconceptions,2008,2,USA,Comedy,,95,1/22/2010,Ron Satlof,"['Elliot Swift', ' David Sutcliffe', ' A.J. Cook']",English,4.8,6892.0
454,Misery Loves Comedy,2015,8,USA,Documentary,PG-13,94,4/24/2015,Kevin Pollak,"['Jason Alexander', ' Judd Apatow', ' Scott Aukerman']",English,6.2,19634.0
456,Miss Conception,2008,3,UK,Comedy,R,104,6/6/2008,Eric Styles,"['Heather Graham', ' Mia Kirshner', ' Tom Ellis']",English,4.6,2134.0
457,Miss Congeniality,2000,2668,USA,Action,PG-13,109,12/22/2000,Donald Petrie,"['Sandra Bullock', ' Michael Caine', ' Benjamin Bratt']",English,6.2,106807667.0
458,Miss Congeniality 2: Armed and Fabulous,2005,3233,USA,Action,PG-13,115,3/24/2005,John Pasquin,"['Sandra Bullock', ' Regina King', ' Enrique Murciano']",English,5.0,48478006.0
