,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
3418,5493,Enough Said,2013,835,USA,Comedy,Rated,93,9/18/2013,Nicole Holofcener,"['Julia Louis-Dreyfus', ' Lennie Loftin', ' Jessica St. Clair']",English,7.1,17550872.0
3420,5495,Enter the Dangerous Mind,2013,0,USA,Thriller,Rated,88,2/6/2015,Youssef Delara,"['Nikki Reed', ' Gina Rodriguez', ' Scott Bakula']",English,5.1,0.0
3421,5498,Enter the Void,2009,13,France,Drama,Unrated,161,9/24/2010,Gaspar Noé,"['Paz de la Huerta', ' Nathaniel Brown', ' Cyril Roy']",English,7.3,336467.0
3422,5499,Entertainment,2014,9,India,Action,Unrated,140,11/13/2015,Sajid,"['Akshay Kumar', ' Tamannaah Bhatia', ' Johnny Lever']",Hindi,4.8,55506.0
3424,5506,SBK The-Movie,2014,6,USA,Comedy,Rated,84,4/3/2015,Aaron Re,"['Brittany Baksa', ' David R. Collins', ' Andrea DePalma']",English,7.6,4950.0
3425,5507,Scales: Mermaids Are Real,2017,0,USA,Fantasy,Rated,92,7/21/2017,Kevan Peterson,"['Emmy Perry', ' Elisabeth Röhm', ' Morgan Fairchild']",English,5.1,0.0
3433,5518,Scary Movie 5,2013,3402,USA,Comedy,Rated,86,4/12/2013,Malcolm D. Lee,"['Ashley Tisdale', ' Simon Rex', ' Gracie Whitton']",English,3.5,32015787.0
3434,5519,Scatter My Ashes at Bergdorf's,2013,38,USA,Documentary,Rated,93,5/3/2013,Matthew Miele,"['Tom Ford', ' William Fichtner', ' Mary-Kate Olsen']",English,6.2,518342.0
3435,5523,Scenic Route,2013,0,USA,Drama,Rated,82,8/23/2013,Kevin Goetz,"['Josh Duhamel', ' Dan Fogler', ' Peter Michael Goetz']",English,6.5,3434.0
3438,5531,Love School Life,2015,13,Bahrain,Action,Rated,0,9/8/2017,Anirudh Baboo,"['Pranav Parab', ' Shivangi Rathour', ' Vishnu Ranjith']",Hindi,7.3,37381.0
3441,5536,Not Another Sci-Fi Movie,2013,0,USA,Comedy,Rated,90,1/1/2018,Ryan Humphries,"['Janielle Atherton', ' Anna Peck']",English,2.5,0.0
3449,5545,Score: A Film Music Documentary,2016,8,USA,Documentary,Rated,93,6/16/2017,Matt Schrader,"['Hans Zimmer', ' Danny Elfman', ' John Williams']",English,6.8,97891.0
3453,5549,Scott Pilgrim vs. the World,2010,2820,USA,Action,Rated,112,8/13/2010,Edgar Wright,"['Michael Cera', ' Alison Pill', ' Mark Webber']",English,7.5,31524275.0
3456,5553,Scouts Guide to the Zombie Apocalypse,2015,1509,USA,Action,Rated,93,10/30/2015,Christopher Landon,"['Tye Sheridan', ' Logan Miller', ' Joey Morgan']",English,6.3,3703046.0
