,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
561,David Soren,156900.0,2.0,78500.0,Turbo,83000.0
562,Barry Cook,156700.0,2.0,78300.0,Mulan,120600.0
563,Barbra Streisand,156100.0,3.0,52000.0,The Prince of Tides,74800.0
564,Rob Bowman,154200.0,4.0,38600.0,X-Files,83900.0
565,Clark Johnson,153200.0,2.0,76600.0,S.W.A.T.,116900.0
566,David Gordon Green,152700.0,12.0,12700.0,Pineapple Express,87300.0
567,Jason Moore,152000.0,2.0,76000.0,Sisters,87000.0
568,Ronny Yu,151400.0,5.0,30300.0,Freddy Vs. Jason,82600.0
569,Michael Hoffman,151100.0,10.0,15100.0,One Fine Day,46200.0
570,Neil LaBute,149200.0,9.0,16600.0,Death at a Funeral (2010),42700.0
571,Spike Jonze,148200.0,4.0,37000.0,Where the Wild Things Are,77200.0
572,Michael Lehman,148100.0,9.0,16500.0,Because I Said So,42700.0
573,Steve Pink,147600.0,4.0,36900.0,Hot Tub Time Machine,50300.0
574,Roman Polanski,147200.0,13.0,11300.0,The Pianist,32600.0
575,Alex Kendrick,145900.0,4.0,36500.0,War Room,67800.0
576,Carl Franklin,145800.0,6.0,24300.0,High Crimes,41500.0
577,Stephen Chbosky,144400.0,2.0,72200.0,Wonder,126700.0
578,Jim Sheridan,143700.0,8.0,18000.0,Get Rich or Die Tryin',31000.0
579,Fede Alvarez,143500.0,2.0,71700.0,Don't Breathe,89200.0
580,Iain Softley,139200.0,6.0,23200.0,K-PAX,50300.0
581,Peter Lord,137900.0,2.0,68900.0,Chicken Run,106800.0
582,Barbet Schroeder,136700.0,9.0,15200.0,Single White Female,48000.0
583,James DeMonaco,136400.0,2.0,68200.0,The Purge: Anarchy,72000.0
584,Forest Whitaker,136200.0,3.0,45400.0,Waiting to Exhale,67100.0
585,Martha Coolidge,135700.0,11.0,12300.0,Out to Sea,29000.0
586,Chad Stahelski,135100.0,2.0,67500.0,John Wick 2,92000.0
587,John R. Leonetti,134500.0,3.0,44800.0,Annabelle,84300.0
588,Paul Thomas Anderson,132600.0,8.0,16600.0,There Will Be Blood,40200.0
589,Zhang Yimou,130600.0,16.0,8200.0,Hero,53700.0
590,Stephen Daldry,129699.99999999999,5.0,25900.0,The Hours,41700.0
591,Gil Kenan,129000.0,3.0,43000.0,Monster House,73700.0
592,Jason Friedberg,128800.00000000001,4.0,32200.000000000004,Epic Movie,39700.0
593,Ryan Coogler,125900.0,2.0,62900.0,Creed,109800.0
594,Michael Sucsy,125000.0,1.0,125000.0,The Vow,125000.0
595,Josh Boone,125000.0,2.0,62500.0,The Fault in our Stars,124900.0
596,James McTeigue,124600.0,3.0,41500.0,V for Vendetta,70500.0
597,Bill Duke,124600.0,7.0,17800.0,Sister Act 2: Back in the Habit,57300.0
598,Rob Zombie,123300.0,6.0,20500.0,Halloween (2007),58300.0
599,Jay Chandrasekhar,123000.0,5.0,24600.0,The Dukes of Hazzard,80300.0
600,Richard LaGravenese,122800.0,6.0,20500.0,P.S. I Love You,53700.0
601,John Schultz,122400.0,6.0,20400.0,Like Mike,51400.0
602,Dave Green,121000.0,2.0,60500.0,Teenage Mutant Ninja Turtles 2,82100.0
603,Josh Trank,120700.0,2.0,60300.0,Chronicle,64599.99999999999
604,Craig Gillespie,119400.0,6.0,19900.0,Million Dollar Arm,36500.0
605,Irwin Winkler,118000.0,7.0,16900.0,The Net,50700.0
606,Angelina Jolie,116500.0,3.0,38800.0,Unbroken,115600.0
607,Bennett Miller,116500.0,3.0,38800.0,Moneyball,75600.0
608,Noam Murro,116100.0,2.0,58000.0,300: Rise of An Empire,106600.0
609,Frederik Du Chau,116000.0,3.0,38700.0,Racing Stripes,49800.0
610,David S. Goyer,115700.0,3.0,38600.0,Blade: Trinity,52400.0
611,Patrick Hughes,114800.0,3.0,38300.0,The Hitman's Bodyguard,75500.0
